strain	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
wt	0.56682493897286500000	0.56113758851112800000	1.00000000000000000000	0.00662562614670686000	0.59993430879722700000	1.00000000000000000000	0.51255666545750800000	0.50963446927069300000	0.99961912319627600000	1.00000000000000000000
G1(-/-)	0.00000000000000000000	0.99999999996691200000	1.00000000000000000000	0.42894119294748900000	0.30818241444442900000	1.00000000000000000000	0.51258536722382100000	0.50963387341397400000	0.74974696640218500000	1.00000000000000000000
G2(-/-)	0.56682493897286500000	0.00000000000000000000	1.00000000000000000000	0.00662562599621252000	0.59993430879722900000	1.00000000000000000000	0.51255666395299100000	0.50963446934152700000	0.99961912369077100000	1.00000000000000000000
G3(-/-)	1.00000000000000000000	0.53953990716706400000	0.00000000000000000000	0.00188332321260212000	0.79382071700521300000	1.00000000000000000000	0.51255385860256700000	0.50963452777794100000	0.99996033290919300000	1.00000000000000000000
G4(-/-)	0.56682493897286500000	0.56113758846924600000	1.00000000000000000000	0.00000000000000000000	0.59993430879723400000	1.00000000000000000000	0.51255665746651500000	0.50963446964692500000	0.99999993279137900000	1.00000000000000000000
G5(-/-)	0.56682493897286500000	0.56113758846924300000	1.00000000000000000000	0.00662562545445113000	0.00000000000000000000	1.00000000000000000000	0.99999958039223800000	0.50601523672207400000	0.99961912551939600000	1.00000000000000000000
G6(-/-)	0.56682493897286400000	0.56113758846924300000	1.00000000000000000000	0.30463878461977600000	0.59993430879723400000	0.00000000000000000000	0.51255665746108800000	0.50963446964718100000	0.80870378378241900000	1.00000000000000000000
G7(-/-)	0.56682493897286400000	0.56113758846924300000	1.00000000000000000000	0.00662562545445137000	0.59993430879723400000	1.00000000000000000000	0.00000000000000000000	0.99999999990624000000	0.99961912551939500000	1.00000000000000000000
G8(-/-)	0.56682493897286500000	0.56113758850128400000	1.00000000000000000000	0.00662562599621252000	0.59993430879722900000	1.00000000000000000000	0.51255666395299100000	0.00000000000000000000	0.99961912369077100000	1.00000000000000000000
G9(-/-)	0.56682493897286500000	0.56113758850128400000	1.00000000000000000000	0.00662562599621252000	0.59993430879722900000	1.00000000000000000000	0.51255666395299100000	0.50963446934152700000	0.00000000000000000000	1.00000000000000000000
G10(-/-)	0.56682493897286500000	0.56113758846924300000	1.00000000000000000000	0.00662562545445113000	0.59993430879723400000	1.00000000000000000000	0.99999958039223800000	0.50601523672207400000	0.99961912551939600000	0.00000000000000000000
